RFI_BTN,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,AA:R100/C0/F0,AKs:R100/C0/F0,AQs:R100/C0/F0,AJs:R100/C0/F0,ATs:R100/C0/F0,A9s:R100/C0/F0,A8s:R100/C0/F0,A7s:R100/C0/F0,A6s:R100/C0/F0,A5s:R100/C0/F0,A4s:R100/C0/F0,A3s:R100/C0/F0,A2s:R100/C0/F0
K,AKo:R100/C0/F0,KK:R100/C0/F0,KQs:R100/C0/F0,KJs:R100/C0/F0,KTs:R100/C0/F0,K9s:R100/C0/F0,K8s:R100/C0/F0,K7s:R100/C0/F0,K6s:R100/C0/F0,K5s:R97/C0/F3,K4s:R87/C0/F13,K3s:R78/C0/F22,K2s:R69/C0/F31
Q,AQo:R100/C0/F0,KQo:R100/C0/F0,QQ:R100/C0/F0,QJs:R100/C0/F0,QTs:R100/C0/F0,Q9s:R100/C0/F0,Q8s:R100/C0/F0,Q7s:R100/C0/F0,Q6s:R93/C0/F7,Q5s:R84/C0/F16,Q4s:R74/C0/F26,Q3s:R65/C0/F35,Q2s:R55/C0/F45
J,AJo:R100/C0/F0,KJo:R100/C0/F0,QJo:R100/C0/F0,JJ:R100/C0/F0,JTs:R100/C0/F0,J9s:R100/C0/F0,J8s:R100/C0/F0,J7s:R89/C0/F11,J6s:R80/C0/F20,J5s:R70/C0/F30,J4s:R61/C0/F39,J3s:R52/C0/F48,J2s:R42/C0/F58
T,ATo:R100/C0/F0,KTo:R100/C0/F0,QTo:R100/C0/F0,JTo:R100/C0/F0,TT:R100/C0/F0,T9s:R100/C0/F0,T8s:R100/C0/F0,T7s:R100/C0/F0,T6s:R67/C0/F33,T5s:R57/C0/F43,T4s:R48/C0/F52,T3s:R38/C0/F62,T2s:R29/C0/F71
9,A9o:R100/C0/F0,K9o:R50/C0/F50,Q9o:R61/C0/F39,J9o:R73/C0/F27,T9o:R61/C0/F39,99:R100/C0/F0,98s:R100/C0/F0,97s:R100/C0/F0,96s:R81/C0/F19,95s:R44/C0/F56,94s:R34/C0/F66,93s:R25/C0/F75,92s:R16/C0/F84
8,A8o:R82/C0/F18,K8o:R20/C0/F80,Q8o:R32/C0/F68,J8o:R43/C0/F57,T8o:R55/C0/F45,98o:R43/C0/F57,88:R100/C0/F0,87s:R100/C0/F0,86s:R95/C0/F5,85s:R58/C0/F42,84s:R21/C0/F79,83s:R12/C0/F88,82s:R2/C0/F98
7,A7o:R52/C0/F48,K7o:R0/C0/F100,Q7o:R2/C0/F98,J7o:R14/C0/F86,T7o:R25/C0/F75,97o:R36/C0/F64,87o:R25/C0/F75,77:R100/C0/F0,76s:R100/C0/F0,75s:R72/C0/F28,74s:R35/C0/F65,73s:R0/C0/F100,72s:R0/C0/F100
6,A6o:R23/C0/F77,K6o:R0/C0/F100,Q6o:R0/C0/F100,J6o:R0/C0/F100,T6o:R0/C0/F100,96o:R7/C0/F93,86o:R18/C0/F82,76o:R7/C0/F93,66:R100/C0/F0,65s:R95/C0/F5,64s:R49/C0/F51,63s:R13/C0/F87,62s:R0/C0/F100
5,A5o:R0/C0/F100,K5o:R0/C0/F100,Q5o:R0/C0/F100,J5o:R0/C0/F100,T5o:R0/C0/F100,95o:R0/C0/F100,85o:R0/C0/F100,75o:R0/C0/F100,65o:R0/C0/F100,55:R100/C0/F0,54s:R72/C0/F28,53s:R27/C0/F73,52s:R0/C0/F100
4,A4o:R0/C0/F100,K4o:R0/C0/F100,Q4o:R0/C0/F100,J4o:R0/C0/F100,T4o:R0/C0/F100,94o:R0/C0/F100,84o:R0/C0/F100,74o:R0/C0/F100,64o:R0/C0/F100,54o:R0/C0/F100,44:R100/C0/F0,43s:R50/C0/F50,42s:R4/C0/F96
3,A3o:R0/C0/F100,K3o:R0/C0/F100,Q3o:R0/C0/F100,J3o:R0/C0/F100,T3o:R0/C0/F100,93o:R0/C0/F100,83o:R0/C0/F100,73o:R0/C0/F100,63o:R0/C0/F100,53o:R0/C0/F100,43o:R0/C0/F100,33:R100/C0/F0,32s:R27/C0/F73
2,A2o:R0/C0/F100,K2o:R0/C0/F100,Q2o:R0/C0/F100,J2o:R0/C0/F100,T2o:R0/C0/F100,92o:R0/C0/F100,82o:R0/C0/F100,72o:R0/C0/F100,62o:R0/C0/F100,52o:R0/C0/F100,42o:R0/C0/F100,32o:R0/C0/F100,22:R100/C0/F0
