RFI_CO,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,AA:R100/C0/F0,AKs:R100/C0/F0,AQs:R100/C0/F0,AJs:R100/C0/F0,ATs:R100/C0/F0,A9s:R100/C0/F0,A8s:R100/C0/F0,A7s:R100/C0/F0,A6s:R100/C0/F0,A5s:R100/C0/F0,A4s:R100/C0/F0,A3s:R100/C0/F0,A2s:R100/C0/F0
K,AKo:R100/C0/F0,KK:R100/C0/F0,KQs:R100/C0/F0,KJs:R100/C0/F0,KTs:R100/C0/F0,K9s:R61/C0/F39,K8s:R52/C0/F48,K7s:R42/C0/F58,K6s:R33/C0/F67,K5s:R23/C0/F77,K4s:R14/C0/F86,K3s:R4/C0/F96,K2s:R0/C0/F100
Q,AQo:R100/C0/F0,KQo:R87/C0/F13,QQ:R100/C0/F0,QJs:R100/C0/F0,QTs:R100/C0/F0,Q9s:R75/C0/F25,Q8s:R38/C0/F62,Q7s:R29/C0/F71,Q6s:R19/C0/F81,Q5s:R10/C0/F90,Q4s:R0/C0/F100,Q3s:R0/C0/F100,Q2s:R0/C0/F100
J,AJo:R100/C0/F0,KJo:R81/C0/F19,QJo:R69/C0/F31,JJ:R100/C0/F0,JTs:R100/C0/F0,J9s:R89/C0/F11,J8s:R52/C0/F48,J7s:R16/C0/F84,J6s:R6/C0/F94,J5s:R0/C0/F100,J4s:R0/C0/F100,J3s:R0/C0/F100,J2s:R0/C0/F100
T,ATo:R100/C0/F0,KTo:R51/C0/F49,QTo:R62/C0/F38,JTo:R51/C0/F49,TT:R100/C0/F0,T9s:R100/C0/F0,T8s:R66/C0/F34,T7s:R30/C0/F70,T6s:R0/C0/F100,T5s:R0/C0/F100,T4s:R0/C0/F100,T3s:R0/C0/F100,T2s:R0/C0/F100
9,A9o:R37/C0/F63,K9o:R0/C0/F100,Q9o:R0/C0/F100,J9o:R0/C0/F100,T9o:R0/C0/F100,99:R100/C0/F0,98s:R89/C0/F11,97s:R44/C0/F56,96s:R7/C0/F93,95s:R0/C0/F100,94s:R0/C0/F100,93s:R0/C0/F100,92s:R0/C0/F100
8,A8o:R8/C0/F92,K8o:R0/C0/F100,Q8o:R0/C0/F100,J8o:R0/C0/F100,T8o:R0/C0/F100,98o:R0/C0/F100,88:R100/C0/F0,87s:R67/C0/F33,86s:R21/C0/F79,85s:R0/C0/F100,84s:R0/C0/F100,83s:R0/C0/F100,82s:R0/C0/F100
7,A7o:R0/C0/F100,K7o:R0/C0/F100,Q7o:R0/C0/F100,J7o:R0/C0/F100,T7o:R0/C0/F100,97o:R0/C0/F100,87o:R0/C0/F100,77:R100/C0/F0,76s:R44/C0/F56,75s:R0/C0/F100,74s:R0/C0/F100,73s:R0/C0/F100,72s:R0/C0/F100
6,A6o:R0/C0/F100,K6o:R0/C0/F100,Q6o:R0/C0/F100,J6o:R0/C0/F100,T6o:R0/C0/F100,96o:R0/C0/F100,86o:R0/C0/F100,76o:R0/C0/F100,66:R100/C0/F0,65s:R21/C0/F79,64s:R0/C0/F100,63s:R0/C0/F100,62s:R0/C0/F100
5,A5o:R0/C0/F100,K5o:R0/C0/F100,Q5o:R0/C0/F100,J5o:R0/C0/F100,T5o:R0/C0/F100,95o:R0/C0/F100,85o:R0/C0/F100,75o:R0/C0/F100,65o:R0/C0/F100,55:R100/C0/F0,54s:R0/C0/F100,53s:R0/C0/F100,52s:R0/C0/F100
4,A4o:R0/C0/F100,K4o:R0/C0/F100,Q4o:R0/C0/F100,J4o:R0/C0/F100,T4o:R0/C0/F100,94o:R0/C0/F100,84o:R0/C0/F100,74o:R0/C0/F100,64o:R0/C0/F100,54o:R0/C0/F100,44:R100/C0/F0,43s:R0/C0/F100,42s:R0/C0/F100
3,A3o:R0/C0/F100,K3o:R0/C0/F100,Q3o:R0/C0/F100,J3o:R0/C0/F100,T3o:R0/C0/F100,93o:R0/C0/F100,83o:R0/C0/F100,73o:R0/C0/F100,63o:R0/C0/F100,53o:R0/C0/F100,43o:R0/C0/F100,33:R100/C0/F0,32s:R0/C0/F100
2,A2o:R0/C0/F100,K2o:R0/C0/F100,Q2o:R0/C0/F100,J2o:R0/C0/F100,T2o:R0/C0/F100,92o:R0/C0/F100,82o:R0/C0/F100,72o:R0/C0/F100,62o:R0/C0/F100,52o:R0/C0/F100,42o:R0/C0/F100,32o:R0/C0/F100,22:R99/C0/F1
