RFI_SB,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,AA:R100/C0/F0,AKs:R97/C3/F0,AQs:R97/C3/F0,AJs:R98/C2/F0,ATs:R97/C3/F0,A9s:R94/C6/F0,A8s:R93/C7/F0,A7s:R93/C7/F0,A6s:R93/C7/F0,A5s:R92/C8/F0,A4s:R92/C8/F0,A3s:R92/C8/F0,A2s:R91/C9/F0
K,AKo:R100/C0/F0,KK:R100/C0/F0,KQs:R94/C6/F0,KJs:R91/C9/F0,KTs:R93/C7/F0,K9s:R89/C11/F0,K8s:R88/C12/F0,K7s:R88/C12/F0,K6s:R80/C11/F8,K5s:R72/C10/F18,K4s:R63/C9/F27,K3s:R55/C8/F37,K2s:R46/C7/F46
Q,AQo:R100/C0/F0,KQo:R100/C0/F0,QQ:R100/C0/F0,QJs:R92/C8/F0,QTs:R90/C10/F0,Q9s:R89/C11/F0,Q8s:R86/C12/F3,Q7s:R77/C11/F12,Q6s:R68/C10/F22,Q5s:R60/C9/F31,Q4s:R51/C8/F41,Q3s:R43/C7/F50,Q2s:R35/C6/F59
J,AJo:R100/C0/F0,KJo:R100/C0/F0,QJo:R100/C0/F0,JJ:R100/C0/F0,JTs:R91/C9/F0,J9s:R84/C16/F0,J8s:R89/C11/F0,J7s:R65/C10/F25,J6s:R57/C9/F35,J5s:R48/C8/F44,J4s:R40/C6/F54,J3s:R31/C5/F63,J2s:R23/C4/F73
T,ATo:R100/C0/F0,KTo:R100/C0/F0,QTo:R100/C0/F0,JTo:R100/C0/F0,TT:R100/C0/F0,T9s:R86/C14/F0,T8s:R83/C17/F0,T7s:R78/C11/F11,T6s:R45/C7/F48,T5s:R36/C6/F58,T4s:R28/C5/F67,T3s:R20/C3/F77,T2s:R12/C2/F86
9,A9o:R97/C0/F3,K9o:R35/C0/F65,Q9o:R47/C0/F53,J9o:R58/C0/F42,T9o:R47/C0/F53,99:R96/C4/F0,98s:R84/C16/F0,97s:R81/C19/F0,96s:R57/C9/F34,95s:R25/C4/F71,94s:R17/C3/F80,93s:R9/C2/F90,92s:R1/C0/F99
8,A8o:R67/C0/F33,K8o:R6/C0/F94,Q8o:R17/C0/F83,J8o:R28/C0/F72,T8o:R40/C0/F60,98o:R28/C0/F72,88:R96/C4/F0,87s:R83/C17/F0,86s:R64/C16/F20,85s:R37/C6/F57,84s:R5/C1/F94,83s:R0/C0/F100,82s:R0/C0/F100
7,A7o:R38/C0/F62,K7o:R0/C0/F100,Q7o:R0/C0/F100,J7o:R0/C0/F100,T7o:R10/C0/F90,97o:R22/C0/F78,87o:R10/C0/F90,77:R95/C5/F0,76s:R81/C19/F0,75s:R45/C12/F43,74s:R17/C3/F80,73s:R0/C0/F100,72s:R0/C0/F100
6,A6o:R8/C0/F92,K6o:R0/C0/F100,Q6o:R0/C0/F100,J6o:R0/C0/F100,T6o:R0/C0/F100,96o:R0/C0/F100,86o:R3/C0/F97,76o:R0/C0/F100,66:R95/C5/F0,65s:R64/C16/F20,64s:R27/C8/F66,63s:R0/C0/F100,62s:R0/C0/F100
5,A5o:R0/C0/F100,K5o:R0/C0/F100,Q5o:R0/C0/F100,J5o:R0/C0/F100,T5o:R0/C0/F100,95o:R0/C0/F100,85o:R0/C0/F100,75o:R0/C0/F100,65o:R0/C0/F100,55:R94/C6/F0,54s:R45/C12/F42,53s:R9/C3/F88,52s:R0/C0/F100
4,A4o:R0/C0/F100,K4o:R0/C0/F100,Q4o:R0/C0/F100,J4o:R0/C0/F100,T4o:R0/C0/F100,94o:R0/C0/F100,84o:R0/C0/F100,74o:R0/C0/F100,64o:R0/C0/F100,54o:R0/C0/F100,44:R94/C6/F0,43s:R27/C8/F65,42s:R0/C0/F100
3,A3o:R0/C0/F100,K3o:R0/C0/F100,Q3o:R0/C0/F100,J3o:R0/C0/F100,T3o:R0/C0/F100,93o:R0/C0/F100,83o:R0/C0/F100,73o:R0/C0/F100,63o:R0/C0/F100,53o:R0/C0/F100,43o:R0/C0/F100,33:R94/C6/F0,32s:R9/C3/F88
2,A2o:R0/C0/F100,K2o:R0/C0/F100,Q2o:R0/C0/F100,J2o:R0/C0/F100,T2o:R0/C0/F100,92o:R0/C0/F100,82o:R0/C0/F100,72o:R0/C0/F100,62o:R0/C0/F100,52o:R0/C0/F100,42o:R0/C0/F100,32o:R0/C0/F100,22:R93/C7/F0
