RFI_SB,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,AA:R85/C15/F0,AKs:R78/C22/F0,AQs:R82/C18/F0,AJs:R84/C17/F0,ATs:R55/C7/F38,A9s:R59/C3/F38,A8s:R59/C3/F38,A7s:R59/C3/F38,A6s:R59/C3/F38,A5s:R59/C3/F38,A4s:R59/C3/F38,A3s:R59/C3/F38,A2s:R59/C3/F38
K,AKo:R96/C4/F0,KK:R85/C15/F0,KQs:R69/C31/F0,KJs:R68/C27/F5,KTs:R49/C14/F38,K9s:R6/C1/F93,K8s:R6/C1/F93,K7s:R6/C1/F93,K6s:R6/C1/F93,K5s:R6/C1/F93,K4s:R6/C1/F93,K3s:R6/C1/F93,K2s:R6/C1/F93
Q,AQo:R95/C0/F5,KQo:R82/C13/F5,QQ:R85/C15/F0,QJs:R60/C40/F0,QTs:R42/C20/F38,Q9s:R24/C5/F71,Q8s:R0/C0/F100,Q7s:R0/C0/F100,Q6s:R0/C0/F100,Q5s:R0/C0/F100,Q4s:R0/C0/F100,Q3s:R0/C0/F100,Q2s:R0/C0/F100
J,AJo:R62/C0/F38,KJo:R27/C3/F71,QJo:R49/C13/F38,JJ:R85/C15/F0,JTs:R53/C42/F5,J9s:R21/C8/F71,J8s:R5/C2/F93,J7s:R0/C0/F100,J6s:R0/C0/F100,J5s:R0/C0/F100,J4s:R0/C0/F100,J3s:R0/C0/F100,J2s:R0/C0/F100
T,ATo:R7/C0/F93,KTo:R7/C0/F93,QTo:R6/C1/F93,JTo:R22/C8/F71,TT:R85/C15/F0,T9s:R40/C23/F38,T8s:R5/C2/F93,T7s:R0/C0/F100,T6s:R0/C0/F100,T5s:R0/C0/F100,T4s:R0/C0/F100,T3s:R0/C0/F100,T2s:R0/C0/F100
9,A9o:R7/C0/F93,K9o:R0/C0/F100,Q9o:R0/C0/F100,J9o:R0/C0/F100,T9o:R6/C1/F93,99:R85/C15/F0,98s:R40/C23/F38,97s:R5/C2/F93,96s:R0/C0/F100,95s:R0/C0/F100,94s:R0/C0/F100,93s:R0/C0/F100,92s:R0/C0/F100
8,A8o:R7/C0/F93,K8o:R0/C0/F100,Q8o:R0/C0/F100,J8o:R0/C0/F100,T8o:R0/C0/F100,98o:R0/C0/F100,88:R80/C15/F5,87s:R28/C16/F56,86s:R0/C0/F100,85s:R0/C0/F100,84s:R0/C0/F100,83s:R0/C0/F100,82s:R0/C0/F100
7,A7o:R7/C0/F93,K7o:R0/C0/F100,Q7o:R0/C0/F100,J7o:R0/C0/F100,T7o:R0/C0/F100,97o:R0/C0/F100,87o:R0/C0/F100,77:R53/C10/F38,76s:R19/C11/F71,75s:R0/C0/F100,74s:R0/C0/F100,73s:R0/C0/F100,72s:R0/C0/F100
6,A6o:R7/C0/F93,K6o:R0/C0/F100,Q6o:R0/C0/F100,J6o:R0/C0/F100,T6o:R0/C0/F100,96o:R0/C0/F100,86o:R0/C0/F100,76o:R0/C0/F100,66:R6/C1/F93,65s:R11/C6/F83,64s:R0/C0/F100,63s:R0/C0/F100,62s:R0/C0/F100
5,A5o:R7/C0/F93,K5o:R0/C0/F100,Q5o:R0/C0/F100,J5o:R0/C0/F100,T5o:R0/C0/F100,95o:R0/C0/F100,85o:R0/C0/F100,75o:R0/C0/F100,65o:R0/C0/F100,55:R0/C0/F100,54s:R4/C2/F93,53s:R0/C0/F100,52s:R0/C0/F100
4,A4o:R7/C0/F93,K4o:R0/C0/F100,Q4o:R0/C0/F100,J4o:R0/C0/F100,T4o:R0/C0/F100,94o:R0/C0/F100,84o:R0/C0/F100,74o:R0/C0/F100,64o:R0/C0/F100,54o:R0/C0/F100,44:R0/C0/F100,43s:R0/C0/F100,42s:R0/C0/F100
3,A3o:R7/C0/F93,K3o:R0/C0/F100,Q3o:R0/C0/F100,J3o:R0/C0/F100,T3o:R0/C0/F100,93o:R0/C0/F100,83o:R0/C0/F100,73o:R0/C0/F100,63o:R0/C0/F100,53o:R0/C0/F100,43o:R0/C0/F100,33:R0/C0/F100,32s:R0/C0/F100
2,A2o:R7/C0/F93,K2o:R0/C0/F100,Q2o:R0/C0/F100,J2o:R0/C0/F100,T2o:R0/C0/F100,92o:R0/C0/F100,82o:R0/C0/F100,72o:R0/C0/F100,62o:R0/C0/F100,52o:R0/C0/F100,42o:R0/C0/F100,32o:R0/C0/F100,22:R0/C0/F100
