RFI_UTG1_VS_3BET_HJ,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,AA:R0/C100/F0,AKs:R2/C98/F0,AQs:R1/C99/F0,AJs:R1/C99/F0,ATs:R1/C81/F18,A9s:R1/C81/F18,A8s:R1/C81/F18,A7s:R1/C81/F18,A6s:R1/C81/F18,A5s:R1/C81/F18,A4s:R1/C81/F18,A3s:R1/C81/F18,A2s:R1/C81/F18
K,AKo:R2/C98/F0,KK:R0/C100/F0,KQs:R1/C99/F0,KJs:R0/C100/F0,KTs:R0/C81/F18,K9s:R0/C17/F83,K8s:R0/C17/F83,K7s:R0/C17/F83,K6s:R0/C17/F83,K5s:R0/C17/F83,K4s:R0/C17/F83,K3s:R0/C17/F83,K2s:R0/C17/F83
Q,AQo:R1/C99/F0,KQo:R1/C99/F0,QQ:R0/C100/F0,QJs:R0/C100/F0,QTs:R0/C81/F19,Q9s:R0/C43/F57,Q8s:R0/C0/F100,Q7s:R0/C0/F100,Q6s:R0/C0/F100,Q5s:R0/C0/F100,Q4s:R0/C0/F100,Q3s:R0/C0/F100,Q2s:R0/C0/F100
J,AJo:R1/C81/F18,KJo:R0/C43/F56,QJo:R0/C81/F19,JJ:R0/C100/F0,JTs:R0/C100/F0,J9s:R0/C43/F57,J8s:R0/C17/F83,J7s:R0/C0/F100,J6s:R0/C0/F100,J5s:R0/C0/F100,J4s:R0/C0/F100,J3s:R0/C0/F100,J2s:R0/C0/F100
T,ATo:R1/C17/F82,KTo:R0/C17/F83,QTo:R0/C17/F83,JTo:R0/C43/F57,TT:R0/C100/F0,T9s:R0/C81/F19,T8s:R0/C17/F83,T7s:R0/C0/F100,T6s:R0/C0/F100,T5s:R0/C0/F100,T4s:R0/C0/F100,T3s:R0/C0/F100,T2s:R0/C0/F100
9,A9o:R1/C17/F82,K9o:R0/C0/F100,Q9o:R0/C0/F100,J9o:R0/C0/F100,T9o:R0/C17/F83,99:R0/C100/F0,98s:R0/C81/F19,97s:R0/C17/F83,96s:R0/C0/F100,95s:R0/C0/F100,94s:R0/C0/F100,93s:R0/C0/F100,92s:R0/C0/F100
8,A8o:R1/C17/F82,K8o:R0/C0/F100,Q8o:R0/C0/F100,J8o:R0/C0/F100,T8o:R0/C0/F100,98o:R0/C7/F93,88:R0/C100/F0,87s:R0/C61/F39,86s:R0/C7/F93,85s:R0/C0/F100,84s:R0/C0/F100,83s:R0/C0/F100,82s:R0/C0/F100
7,A7o:R1/C17/F82,K7o:R0/C0/F100,Q7o:R0/C0/F100,J7o:R0/C0/F100,T7o:R0/C0/F100,97o:R0/C0/F100,87o:R0/C0/F100,77:R0/C81/F19,76s:R0/C43/F57,75s:R0/C0/F100,74s:R0/C0/F100,73s:R0/C0/F100,72s:R0/C0/F100
6,A6o:R1/C17/F82,K6o:R0/C0/F100,Q6o:R0/C0/F100,J6o:R0/C0/F100,T6o:R0/C0/F100,96o:R0/C0/F100,86o:R0/C0/F100,76o:R0/C0/F100,66:R0/C17/F83,65s:R0/C29/F71,64s:R0/C0/F100,63s:R0/C0/F100,62s:R0/C0/F100
5,A5o:R1/C17/F82,K5o:R0/C0/F100,Q5o:R0/C0/F100,J5o:R0/C0/F100,T5o:R0/C0/F100,95o:R0/C0/F100,85o:R0/C0/F100,75o:R0/C0/F100,65o:R0/C0/F100,55:R0/C0/F100,54s:R0/C17/F83,53s:R0/C0/F100,52s:R0/C0/F100
4,A4o:R1/C17/F82,K4o:R0/C0/F100,Q4o:R0/C0/F100,J4o:R0/C0/F100,T4o:R0/C0/F100,94o:R0/C0/F100,84o:R0/C0/F100,74o:R0/C0/F100,64o:R0/C0/F100,54o:R0/C0/F100,44:R0/C0/F100,43s:R0/C0/F100,42s:R0/C0/F100
3,A3o:R1/C17/F82,K3o:R0/C0/F100,Q3o:R0/C0/F100,J3o:R0/C0/F100,T3o:R0/C0/F100,93o:R0/C0/F100,83o:R0/C0/F100,73o:R0/C0/F100,63o:R0/C0/F100,53o:R0/C0/F100,43o:R0/C0/F100,33:R0/C0/F100,32s:R0/C0/F100
2,A2o:R1/C17/F82,K2o:R0/C0/F100,Q2o:R0/C0/F100,J2o:R0/C0/F100,T2o:R0/C0/F100,92o:R0/C0/F100,82o:R0/C0/F100,72o:R0/C0/F100,62o:R0/C0/F100,52o:R0/C0/F100,42o:R0/C0/F100,32o:R0/C0/F100,22:R0/C0/F100
