VS_LJ_OPEN_SB,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,AA:R33/C67/F0,AKs:R7/C93/F0,AQs:R5/C95/F0,AJs:R4/C96/F0,ATs:R4/C79/F17,A9s:R4/C79/F17,A8s:R4/C79/F17,A7s:R4/C79/F17,A6s:R4/C79/F17,A5s:R4/C79/F17,A4s:R4/C79/F17,A3s:R4/C79/F17,A2s:R4/C79/F17
K,AKo:R6/C94/F0,KK:R25/C75/F0,KQs:R4/C96/F0,KJs:R2/C98/F0,KTs:R2/C79/F19,K9s:R2/C7/F91,K8s:R2/C7/F91,K7s:R2/C7/F91,K6s:R2/C7/F91,K5s:R2/C7/F91,K4s:R2/C7/F91,K3s:R2/C7/F91,K2s:R2/C7/F91
Q,AQo:R5/C95/F0,KQo:R3/C97/F0,QQ:R17/C83/F0,QJs:R1/C99/F0,QTs:R1/C79/F20,Q9s:R0/C37/F63,Q8s:R0/C0/F100,Q7s:R0/C0/F100,Q6s:R0/C0/F100,Q5s:R0/C0/F100,Q4s:R0/C0/F100,Q3s:R0/C0/F100,Q2s:R0/C0/F100
J,AJo:R3/C79/F17,KJo:R2/C37/F62,QJo:R0/C79/F20,JJ:R4/C96/F0,JTs:R0/C100/F0,J9s:R0/C37/F63,J8s:R0/C7/F93,J7s:R0/C0/F100,J6s:R0/C0/F100,J5s:R0/C0/F100,J4s:R0/C0/F100,J3s:R0/C0/F100,J2s:R0/C0/F100
T,ATo:R4/C7/F89,KTo:R2/C7/F91,QTo:R0/C7/F92,JTo:R0/C37/F63,TT:R0/C100/F0,T9s:R0/C79/F21,T8s:R0/C7/F93,T7s:R0/C0/F100,T6s:R0/C0/F100,T5s:R0/C0/F100,T4s:R0/C0/F100,T3s:R0/C0/F100,T2s:R0/C0/F100
9,A9o:R3/C7/F90,K9o:R1/C0/F99,Q9o:R0/C0/F100,J9o:R0/C0/F100,T9o:R0/C7/F93,99:R0/C100/F0,98s:R0/C79/F21,97s:R0/C7/F93,96s:R0/C0/F100,95s:R0/C0/F100,94s:R0/C0/F100,93s:R0/C0/F100,92s:R0/C0/F100
8,A8o:R3/C7/F90,K8o:R1/C0/F99,Q8o:R0/C0/F100,J8o:R0/C0/F100,T8o:R0/C0/F100,98o:R0/C0/F100,88:R0/C100/F0,87s:R0/C56/F44,86s:R0/C0/F100,85s:R0/C0/F100,84s:R0/C0/F100,83s:R0/C0/F100,82s:R0/C0/F100
7,A7o:R3/C7/F90,K7o:R1/C0/F99,Q7o:R0/C0/F100,J7o:R0/C0/F100,T7o:R0/C0/F100,97o:R0/C0/F100,87o:R0/C0/F100,77:R0/C79/F21,76s:R0/C37/F63,75s:R0/C0/F100,74s:R0/C0/F100,73s:R0/C0/F100,72s:R0/C0/F100
6,A6o:R3/C7/F90,K6o:R1/C0/F99,Q6o:R0/C0/F100,J6o:R0/C0/F100,T6o:R0/C0/F100,96o:R0/C0/F100,86o:R0/C0/F100,76o:R0/C0/F100,66:R0/C7/F93,65s:R0/C21/F79,64s:R0/C0/F100,63s:R0/C0/F100,62s:R0/C0/F100
5,A5o:R3/C7/F90,K5o:R1/C0/F99,Q5o:R0/C0/F100,J5o:R0/C0/F100,T5o:R0/C0/F100,95o:R0/C0/F100,85o:R0/C0/F100,75o:R0/C0/F100,65o:R0/C0/F100,55:R0/C0/F100,54s:R0/C7/F93,53s:R0/C0/F100,52s:R0/C0/F100
4,A4o:R3/C7/F90,K4o:R1/C0/F99,Q4o:R0/C0/F100,J4o:R0/C0/F100,T4o:R0/C0/F100,94o:R0/C0/F100,84o:R0/C0/F100,74o:R0/C0/F100,64o:R0/C0/F100,54o:R0/C0/F100,44:R0/C0/F100,43s:R0/C0/F100,42s:R0/C0/F100
3,A3o:R3/C7/F90,K3o:R1/C0/F99,Q3o:R0/C0/F100,J3o:R0/C0/F100,T3o:R0/C0/F100,93o:R0/C0/F100,83o:R0/C0/F100,73o:R0/C0/F100,63o:R0/C0/F100,53o:R0/C0/F100,43o:R0/C0/F100,33:R0/C0/F100,32s:R0/C0/F100
2,A2o:R3/C7/F90,K2o:R1/C0/F99,Q2o:R0/C0/F100,J2o:R0/C0/F100,T2o:R0/C0/F100,92o:R0/C0/F100,82o:R0/C0/F100,72o:R0/C0/F100,62o:R0/C0/F100,52o:R0/C0/F100,42o:R0/C0/F100,32o:R0/C0/F100,22:R0/C0/F100
